LAWD_CD,SIDO_CD,SIGUNGU_CD,SIDO_NM,SIG_NM
11000,1,0,서울특별시,
11110,1,23,서울특별시,종로구
11140,1,24,서울특별시,중구
11170,1,21,서울특별시,용산구
11200,1,16,서울특별시,성동구
11215,1,6,서울특별시,광진구
11230,1,11,서울특별시,동대문구
11260,1,25,서울특별시,중랑구
11290,1,17,서울특별시,성북구
11305,1,3,서울특별시,강북구
11320,1,10,서울특별시,도봉구
11350,1,9,서울특별시,노원구
11380,1,22,서울특별시,은평구
11410,1,14,서울특별시,서대문구
11440,1,13,서울특별시,마포구
11470,1,19,서울특별시,양천구
11500,1,4,서울특별시,강서구
11530,1,7,서울특별시,구로구
11545,1,8,서울특별시,금천구
11560,1,20,서울특별시,영등포구
11590,1,12,서울특별시,동작구
11620,1,5,서울특별시,관악구
11650,1,15,서울특별시,서초구
11680,1,1,서울특별시,강남구
11710,1,18,서울특별시,송파구
11740,1,2,서울특별시,강동구
26000,2,0,부산광역시,
26110,2,15,부산광역시,중구
26140,2,11,부산광역시,서구
26170,2,5,부산광역시,동구
26200,2,14,부산광역시,영도구
26230,2,7,부산광역시,부산진구
26260,2,6,부산광역시,동래구
26290,2,4,부산광역시,남구
26320,2,8,부산광역시,북구
26350,2,16,부산광역시,해운대구
26380,2,10,부산광역시,사하구
26410,2,2,부산광역시,금정구
26440,2,1,부산광역시,강서구
26470,2,13,부산광역시,연제구
26500,2,12,부산광역시,수영구
26530,2,9,부산광역시,사상구
26710,2,3,부산광역시,기장군
27000,5,0,대구광역시,
27110,5,8,대구광역시,중구
27140,5,4,대구광역시,동구
27170,5,6,대구광역시,서구
27200,5,1,대구광역시,남구
27230,5,5,대구광역시,북구
27260,5,7,대구광역시,수성구
27290,5,2,대구광역시,달서구
27710,5,3,대구광역시,달성군
28000,4,0,인천광역시,
28110,4,10,인천광역시,중구
28140,4,4,인천광역시,동구
28170,4,0,인천광역시,남구
28177,4,5,인천광역시,미추홀구
28185,4,8,인천광역시,연수구
28200,4,3,인천광역시,남동구
28237,4,6,인천광역시,부평구
28245,4,2,인천광역시,계양구
28260,4,7,인천광역시,서구
28710,4,1,인천광역시,강화군
28720,4,9,인천광역시,옹진군
29000,7,0,광주광역시,
29110,7,3,광주광역시,동구
29140,7,5,광주광역시,서구
29155,7,2,광주광역시,남구
29170,7,4,광주광역시,북구
29200,7,1,광주광역시,광산구
30000,6,0,대전광역시,
30110,6,2,대전광역시,동구
30140,6,5,대전광역시,중구
30170,6,3,대전광역시,서구
30200,6,4,대전광역시,유성구
30230,6,1,대전광역시,대덕구
31000,3,0,울산광역시,
31110,3,5,울산광역시,중구
31140,3,1,울산광역시,남구
31170,3,2,울산광역시,동구
31200,3,3,울산광역시,북구
31710,3,4,울산광역시,울주군
36000,17,0,세종특별자치시,
36110,17,0,세종특별자치시,세종시
41000,8,0,경기도,
41050,8,0,경기도,부천군
41110,8,13,경기도,수원시
41111,8,13,경기도,수원시장안구
41113,8,13,경기도,수원시권선구
41115,8,13,경기도,수원시팔달구
41117,8,13,경기도,수원시영통구
41130,8,12,경기도,성남시
41131,8,12,경기도,성남시수정구
41133,8,12,경기도,성남시중원구
41135,8,12,경기도,성남시분당구
41150,8,25,경기도,의정부시
41170,8,17,경기도,안양시
41171,8,17,경기도,안양시만안구
41173,8,17,경기도,안양시동안구
41190,8,11,경기도,부천시
41195,8,11,경기도,부천시원미구
41197,8,11,경기도,부천시소사구
41199,8,11,경기도,부천시오정구
41210,8,4,경기도,광명시
41220,8,28,경기도,평택시
41250,8,10,경기도,동두천시
41270,8,15,경기도,안산시
41271,8,15,경기도,안산시상록구
41273,8,15,경기도,안산시단원구
41280,8,2,경기도,고양시
41281,8,2,경기도,고양시덕양구
41283,8,2,경기도,고양시일산구
41285,8,2,경기도,고양시일산동구
41287,8,2,경기도,고양시일산서구
41290,8,3,경기도,과천시
41310,8,6,경기도,구리시
41360,8,9,경기도,남양주시
41370,8,22,경기도,오산시
41390,8,14,경기도,시흥시
41410,8,7,경기도,군포시
41430,8,24,경기도,의왕시
41450,8,30,경기도,하남시
41460,8,23,경기도,용인시
41461,8,23,경기도,용인시처인구
41463,8,23,경기도,용인시기흥구
41465,8,23,경기도,용인시수지구
41480,8,27,경기도,파주시
41500,8,26,경기도,이천시
41550,8,16,경기도,안성시
41570,8,8,경기도,김포시
41590,8,31,경기도,화성시
41610,8,5,경기도,광주시
41630,8,18,경기도,양주시
41650,8,29,경기도,포천시
41670,8,20,경기도,여주시
41710,8,0,경기도,양주군
41730,8,0,경기도,여주군
41750,8,0,경기도,화성군
41790,8,0,경기도,광주군
41800,8,21,경기도,연천군
41810,8,0,경기도,포천군
41820,8,1,경기도,가평군
41830,8,19,경기도,양평군
42000,9,0,강원도,
42110,9,13,강원도,춘천시
42130,9,9,강원도,원주시
42150,9,1,강원도,강릉시
42170,9,3,강원도,동해시
42190,9,14,강원도,태백시
42210,9,5,강원도,속초시
42230,9,4,강원도,삼척시
42720,9,16,강원도,홍천군
42730,9,18,강원도,횡성군
42750,9,8,강원도,영월군
42760,9,15,강원도,평창군
42770,9,11,강원도,정선군
42780,9,12,강원도,철원군
42790,9,17,강원도,화천군
42800,9,6,강원도,양구군
42810,9,10,강원도,인제군
42820,9,2,강원도,고성군
42830,9,7,강원도,양양군
43000,10,0,충청북도,
43110,10,10,충청북도,청주시
43111,10,10,충청북도,청주시상당구
43112,10,10,충청북도,청주시서원구
43113,10,10,충청북도,청주시흥덕구
43114,10,10,충청북도,청주시청원구
43130,10,11,충청북도,충주시
43150,10,7,충청북도,제천시
43710,10,0,충청북도,청원군
43720,10,3,충청북도,보은군
43730,10,5,충청북도,옥천군
43740,10,4,충청북도,영동군
43745,10,8,충청북도,증평군
43750,10,9,충청북도,진천군
43760,10,1,충청북도,괴산군
43770,10,6,충청북도,음성군
43800,10,2,충청북도,단양군
44000,11,0,충청남도,
44130,11,12,충청남도,천안시
44131,11,12,충청남도,천안시동남구
44133,11,12,충청남도,천안시서북구
44150,11,2,충청남도,공주시
44180,11,6,충청남도,보령시
44200,11,10,충청남도,아산시
44210,11,8,충청남도,서산시
44230,11,4,충청남도,논산시
44250,11,1,충청남도,계룡시
44270,11,5,충청남도,당진시
44710,11,3,충청남도,금산군
44730,11,0,충청남도,연기군
44760,11,7,충청남도,부여군
44770,11,9,충청남도,서천군
44790,11,13,충청남도,청양군
44800,11,15,충청남도,홍성군
44810,11,11,충청남도,예산군
44825,11,14,충청남도,태안군
44830,11,0,충청남도,당진군
45000,14,0,전라북도,
45110,14,12,전라북도,전주시
45111,14,12,전라북도,전주시완산구
45113,14,12,전라북도,전주시덕진구
45130,14,2,전라북도,군산시
45140,14,9,전라북도,익산시
45180,14,13,전라북도,정읍시
45190,14,4,전라북도,남원시
45210,14,3,전라북도,김제시
45710,14,8,전라북도,완주군
45720,14,14,전라북도,진안군
45730,14,5,전라북도,무주군
45740,14,11,전라북도,장수군
45750,14,10,전라북도,임실군
45770,14,7,전라북도,순창군
45790,14,1,전라북도,고창군
45800,14,6,전라북도,부안군
46000,15,0,전라남도,
46110,15,8,전라남도,목포시
46130,15,13,전라남도,여수시
46150,15,11,전라남도,순천시
46170,15,6,전라남도,나주시
46230,15,4,전라남도,광양시
46710,15,7,전라남도,담양군
46720,15,3,전라남도,곡성군
46730,15,5,전라남도,구례군
46770,15,2,전라남도,고흥군
46780,15,10,전라남도,보성군
46790,15,22,전라남도,화순군
46800,15,18,전라남도,장흥군
46810,15,1,전라남도,강진군
46820,15,21,전라남도,해남군
46830,15,15,전라남도,영암군
46840,15,9,전라남도,무안군
46860,15,20,전라남도,함평군
46870,15,14,전라남도,영광군
46880,15,17,전라남도,장성군
46890,15,16,전라남도,완도군
46900,15,19,전라남도,진도군
46910,15,12,전라남도,신안군
47000,12,0,경상북도,
47110,12,23,경상북도,포항시
47111,12,23,경상북도,포항시남구
47113,12,23,경상북도,포항시북구
47130,12,2,경상북도,경주시
47150,12,6,경상북도,김천시
47170,12,11,경상북도,안동시
47190,12,4,경상북도,구미시
47210,12,14,경상북도,영주시
47230,12,15,경상북도,영천시
47250,12,9,경상북도,상주시
47280,12,7,경상북도,문경시
47290,12,1,경상북도,경산시
47720,12,5,경상북도,군위군
47730,12,19,경상북도,의성군
47750,12,21,경상북도,청송군
47760,12,13,경상북도,영양군
47770,12,12,경상북도,영덕군
47820,12,20,경상북도,청도군
47830,12,3,경상북도,고령군
47840,12,10,경상북도,성주군
47850,12,22,경상북도,칠곡군
47900,12,16,경상북도,예천군
47920,12,8,경상북도,봉화군
47930,12,18,경상북도,울진군
47940,12,17,경상북도,울릉군
48000,13,0,경상남도,
48110,13,13,경상남도,창원시
48120,13,13,경상남도,창원시(통합)
48121,13,13,경상남도,창원시의창구
48123,13,13,경상남도,창원시성산구
